head words,entry,sources,all lexemes,linked words,linked entries
"arbeit, arbait","<heading><strong>arbeit</strong></heading>, <heading><strong>arbait</strong></heading> <gender>жр</gender> (i), <lang>свн.</lang> <lex>arbeit</lex>, <lex>arebeit</lex> первой, <em>тягостный труд, мука, нужда</em>, затем в совр. значении <em>труд, работа</em>; <lang>нн.</lang> <lex>Arbeit</lex>; <lang>дс.</lang> <lex>arbêdi</lex> <gender>срр</gender>, <lex>arbêd</lex> <gender>жр</gender>, <lang>да.</lang> <lex>earfoð</lex>, <lex>earfeðe</lex> <gender>срр</gender>, <lang>ди.</lang> <lex>erfiðe</lex> <gender>срр</gender>, <lang>го.</lang> <lex>arbaiþs</lex> <gender>жр</gender>.",,"earfoð, earfeðe, arbaiþs, arbêd, arbêdi, arebeit, erfiðe, arbeit, Arbeit",,
"arbeitsam","<heading><strong>arbeitsam</strong></heading> (прил.) <em>горестный, трудный</em>; <lang>нн.</lang> <lex>arbeitsam</lex> <em>работящий, трудолюбивый</em>.",,"arbeitsam",,
"arbi","<heading><strong>arbi</strong></heading> <gender>срр</gender>, <linked>см. erbi</linked>.",,,"erbi","<heading><strong>erbi</strong></heading> <gender>срр</gender> (ja), <lang>свн.</lang> <lex>erbe</lex> <em>наследство, уна­следованная земля</em>; <lang>нн.</lang> <lex>Erbe</lex>; <lang>дс.</lang> <lex>erƀi</lex>, <lang>да.</lang> <lex>yrfe</lex>, <lang>ди.</lang> <lex>arfr</lex>, <lang>го.</lang> <lex>arbi</lex>; ср. <lang>лат.</lang> <lex>orbus</lex> <gender>мр</gender>, <lex>orba</lex> <gender>жр</gender> <em>сирота</em>."
"ardîlên","<heading><strong>ardîlên</strong></heading> (слгл. 3) <em>уничтожать, разру­шать</em>.",,,,
"arfaran","<heading><strong>arfaran</strong></heading> (снгл. б), <lang>свн.</lang> <lex>ervarn</lex> <em>проходить, проезжать, уйти</em>, позднее <em>узнавать, испытывать</em>; <lang>нн.</lang> <lex>erfahren</lex>.",,"ervarn, erfahren",,
"arfullan","<heading><strong>arfullan</strong></heading> (слгл. 1) <em>наполнять</em>; <lang>нн.</lang> <lex>erfüllen</lex>.",,"erfüllen",,
"arfurpan","<heading><strong>arfurpan</strong></heading> (слгл. 1) <em>очищать</em>.",,,,
"arg","<heading><strong>arg</strong></heading>, <lang>свн.</lang> <lex variants="arcg, arc">arc(g)</lex> (прил.) <em>алчный, ненасыт­ный, безбожный; низкий, подлый, злой</em>; <lang>нн.</lang> <lex>arg</lex>; <lang>да.</lang> <lex>earƷ</lex>, <lang>ди.</lang> <lex>argr</lex>.",,"arc, arcg, argr, arg, earƷ",,
"argangan, irgangan","<heading><strong>argangan</strong></heading>, <heading><strong>irgangan</strong></heading> (снгл. 7), <lang>свн.</lang> <lex>ergân</lex>, <lex>ergên</lex> <em>выходить, проходить</em>; <lang>нн.</lang> <lex>erg­hen</lex>; <lang>дс.</lang> <lex>âgangan</lex>, <lang>го.</lang> <lex>usgaggan</lex>.",,"âgangan, usgaggan, ergên, ergân, erg­hen",,
"argeban","<heading><strong>argeban</strong></heading>, <lang>свн.</lang> <lex>ergeben</lex> (снгл. 5) <em>выдавать, передавать</em>; <lang>нн.</lang> <lex>ergeben</lex> <em>давать (в ре­зультате)</em>.",,"ergeben",,
"arhâhan","<heading><strong>arhâhan</strong></heading> (снгл. 7) <em>вешать</em>; <lang>нн.</lang> <lex>erhängen</lex>.",,"erhängen",,
"arheffen, arhefan","<heading><strong>arheffen</strong></heading>, <heading><strong>arhefan</strong></heading> (снгл. 6) (прич. <lex>arhapan</lex>), <lang>свн.</lang> <lex>erheben</lex> <em>поднимать</em>; <lang>нн.</lang> <lex>erheben</lex>; <lang>дс.</lang> <lex>âhebbian</lex>, <lang>го.</lang> <lex>ushafjan</lex>.",,"âhebbian, erheben, arhapan, ushafjan",,
"arîdalen","<heading><strong>arîdalen</strong></heading> (слгл. 1) <em>опоражнивать, опусто­шать</em>.",,,,
"ârisan","<heading><strong>ârisan</strong></heading> <lang>дс.</lang> (снгл. 1) <em>подниматься, вста­вать</em>; <lang>двн.</lang> <lex>arrîsan</lex>, <lang>го.</lang> <lex>urreisan</lex>.",,"arrîsan, urreisan",,
"arke","<heading><strong>arke</strong></heading> <source>— Имп.—</source> <gender>жр</gender> <em>ковчег</em>; <lang>нн.</lang> <lex>Arche</lex>; ср. <lang>лат.</lang> <lex>arca</lex> <em>сундук, ящик</em>.","Имп.","arca, Arche",,
"archennan","<heading><strong>archennan</strong></heading> (слгл. 1) <em>знать, познавать</em>; <lang>нн.</lang> <lex>erkennen</lex>.",,"erkennen",,
"arlâȥȥan","<heading><strong>arlâȥȥan</strong></heading>, <lang>свн.</lang> <lex>erlâgen</lex>, <lex>erlân</lex> (снгл. 7) <em>освобождать</em>; <lang>нн.</lang> <lex>erlassen</lex>; <lang>дс.</lang> <lex>âlâtan</lex>, <lang>да.</lang> <lex>ālǣtan</lex>.",,"âlâtan, erlâgen, erlassen, ālǣtan, erlân",,
"arliugan","<heading><strong>arliugan</strong></heading> (снгл. 2) <em>солгать</em>; ср. <lang>нн.</lang> <lex>er­lügen</lex> в <lex>erlogen</lex> <lex>sein</lex>.",,"erlogen, er­lügen, sein",,
"arlouben, irlouben","<heading><strong>arlouben</strong></heading>, <heading><strong>irlouben</strong></heading> (слгл. 1), <lang>свн.</lang> <lex>erlouben</lex> <em>разрешать</em>; <lang>нн.</lang> <lex>erlauben</lex>; <lang>да.</lang> <lex>âlQfan</lex>, <lang>го.</lang> <lex>uslaubjan</lex>.",,"erlouben, âlQfan, uslaubjan, erlauben",,
"arm","<heading><strong>arm</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>мр</gender> (a) <em>рука</em>; <lang>нн.</lang> <lex>Arm</lex>; <lang>дс.</lang> <lex>arm</lex>, <lang>да.</lang> <lex>earm</lex>, <lang>ди.</lang> <lex>armr</lex>, <lang>го.</lang> <lex>arms</lex>, ср. <lang>лат.</lang> <lex>armus</lex> <em>верхняя часть руки, плечо</em>; <lang>русск.</lang> <lex>«рамена»</lex> (<em>плечи</em>).",,"arm, armr, armus, arms, Arm, earm, «рамена»",,
"armên","<heading><strong>armên</strong></heading> (слгл. 3), <lang>свн.</lang> <lex>armen</lex> <em>бедствовать</em>; ср. <lang>нн.</lang> <lex>verarmen</lex> <em>обнищать</em>.",,"armen, verarmen",,
"arnôn","<heading><strong>arnôn</strong></heading> (слгл. 2), <lang>свн.</lang> <lex>arnen</lex>; ср. <lang>нн.</lang> <lex>ernten</lex>; <em>собирать урожай, пожинать; каяться, искупать вину</em>; <lang>двн.</lang> <lex>aran</lex> <gender>мр</gender>, <lex>arn</lex> <gender>жр</gender>, <lex>arnôt</lex> <gender>мр</gender> <em>урожай</em>, <lang>ди.</lang> <lex>ǫnn</lex> (из <lex>*aznō</lex>) <gender>жр</gender> <em>полевая работа</em>, <lang>го.</lang> <lex>asans</lex> <gender>жр</gender> <em>лето (время урожая)</em>; ср. <lang>русск.</lang> <lex>«осень»</lex>.",,"arnen, arn, ernten, «осень», aran, asans, arnôt, *aznō, ǫnn",,
"aro","<heading><strong>aro</strong></heading> <gender>мр</gender> (n), <lang>свн.</lang> <lex>ar</lex> <em>орел</em>; <lang>нн.</lang> <lex>Aar</lex>; <lang>ди.</lang> <lex>are</lex>, <lang>го.</lang> <lex>ara</lex>; ср. <lang>русск.</lang> <lex>«орел»</lex>.",,"ara, Aar, ar, «орел», are",,
"arougen, araugen","<heading><strong>arougen</strong></heading>, <heading><strong>araugen</strong></heading> (слгл. 1) <em>показывать, указывать</em>.",,,,
"arqueken, irquicken","<heading><strong>arqueken</strong></heading>, <heading><strong>irquicken</strong></heading> (слгл. 3, 1), <lang>свн.</lang> <lex>erquicken</lex> <em>оживлять, оживать</em>; <lang>нн.</lang> <lex>erquicken</lex>; <linked>см. quicken</linked>.",,"erquicken","quicken","<heading><strong>quicken</strong></heading> (слгл.) <em>оживлять</em>; ср. <lang>нн.</lang> <lex>erqui­cken</lex>; <lang>ди.</lang> <lex>kvikna</lex> <em>оживать</em>, <lang>го.</lang> <lex variants="anaqiujan, qiujan">(ana)qiujan</lex> <em>оживлять</em>; ср. <lang>двн.</lang> <lex>queck</lex>, <lang>нн.</lang> <lex>keck</lex> <em>смелый, отважный</em> и <lex>Quecksilber</lex> <em>ртуть</em>, <lang>да.</lang> <lex>cwicu</lex>, <lang>ди.</lang> <lex>kuikr</lex>, <lang>го.</lang> <lex>qius</lex> <em>живой</em>, <lang>лат.</lang> <lex>vīvus</lex>, <lang>русск.</lang> <lex>«жив»</lex>."
"arslahan","<heading><strong>arslahan</strong></heading> (снгл. 6), <lang>свн.</lang> <lex>erslahen</lex>, <lex>erslân</lex> <em>убивать</em>; <lang>нн.</lang> <lex>erschlagen</lex>.",,"erslân, erschlagen, erslahen",,
"arspringan","<heading><strong>arspringan</strong></heading> (снгл. 3) <em>подниматься</em>.",,,,
"arstantan, arsten","<heading><strong>arstantan</strong></heading>, <heading><strong>arsten</strong></heading> (снгл. 6) <em>встать</em>; <lang>нн.</lang> <lex>erstehen</lex> <em>возникать</em>.",,"erstehen",,
"arsterban","<heading><strong>arsterban</strong></heading> (снгл. 3), <lang>свн.</lang> <lex>ersterben</lex> <em>уми­рать</em>; <lang>нн.</lang> <lex>ersterben</lex> <em>замирать</em>.",,"ersterben",,
"art","<heading><strong>art</strong></heading> <lang>свн.</lang> <gender>мр</gender> <gender>жр</gender> <em>(прирожденное) свойство, качество, вид, порода, происхождение</em>; <lang>нн.</lang> <lex>Art</lex>; ср. <lang>лат.</lang> <lex>ars</lex>, род. <lex>artis</lex> <em>ис­кусство, ремесло</em> (откуда нем. слово, возможно, и было заимствовано).",,"Art, artis, ars",,
"arteilen, ardeilan","<heading><strong>arteilen</strong></heading>, <heading><strong>ardeilan</strong></heading> (слгл. 1), <lang>свн.</lang> <lex>erteilen</lex> <em>судить</em>; ср. <lang>нн.</lang> <lex>erteilen</lex> <em>выносить (осуждение, порицание)</em> и <lex>urteilen</lex> <em>су­дить</em>.",,"urteilen, erteilen",,
"artruknen","<heading><strong>artruknen</strong></heading> (слгл. 3) <em>высыхать</em>; ср. <lang>нн.</lang> <lex>austrocknen</lex>.",,"austrocknen",,
"ârunti","<heading><strong>ârunti</strong></heading> <gender>срр</gender> (ja), <lang>свн.</lang> <lex>ârant</lex> <gender>мр</gender>. <em>вестник, посланец; известие, поручение</em>; <lang>дс.</lang> <lex>ârunti</lex>, <lang>да.</lang> <lex>asrende</lex>, <lang>ди.</lang> <lex>erende</lex>.",,"asrende, ârunti, ârant, erende",,
"arwarten, irwerten","<heading><strong>arwarten</strong></heading>, <heading><strong>irwerten</strong></heading> (слгл. 1) (прош. <lex>irwarta</lex>) <em>ранить, повредить</em>; <lang>дс.</lang> <lex>âwerdian</lex>, <lang>да.</lang> <lex>âwyrdan</lex>.",,"irwarta, âwerdian, âwyrdan",,
"arweggen","<heading><strong>arweggen</strong></heading> (слгл. 1) <em>двигаться</em>; (прич.) <lex>arwagit</lex>.",,"arwagit",,
"arwegôn","<heading><strong>arwegôn</strong></heading> (слгл. 2) <em>идти</em>.",,,,
"arwerpan","<heading><strong>arwerpan</strong></heading> (снгл. 3) <em>отбрасывать, изго­нять</em>.",,,,
"arwuostan","<heading><strong>arwuostan</strong></heading> (слгл. 1), <lang>свн.</lang> <lex>erwüesten</lex> <em>опус­тошать</em>; ср. <lang>нн.</lang> <lex>verwüsten</lex>.",,"erwüesten, verwüsten",,
"arzellan","<heading><strong>arzellan</strong></heading> (слгл. 1) <em>считать, исчислять</em>; <lang>нн.</lang> <lex>erzählen</lex> <em>рассказывать</em>.",,"erzählen",,
"asc","<heading><strong>asc</strong></heading> <gender>мр</gender> (i) <em>ясень; копье из ясеня</em>; <lang>свн.</lang> <lex>asch</lex> также <em>небольшое судно</em>; <lang>нн.</lang> <lex>Esche</lex>; <lang>дс.</lang> <lex>asc</lex>, <lang>да.</lang> <lex>aesc</lex>, <lang>ди.</lang> <lex>askr</lex>; ср. <lang>русск.</lang> <lex>«ясень»</lex>.",,"aesc, askr, asch, Esche, asc, «ясень»",,
"âslahan","<heading><strong>âslahan</strong></heading> <lang>дс.</lang> (снгл. 6) <em>убивать</em>; <lang>двн.</lang> <lex>ars­lahan</lex>.",,"ars­lahan",,
"asneri","<heading><strong>asneri</strong></heading> <gender>мр</gender> (ja) <em>наемный рабочий, поден­щик</em>.",,,,
"âst","<heading><strong>âst</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>мр</gender> (a) <em>ветвь</em>; <lang>нн.</lang> <lex>Ast</lex>; <lang>дс.</lang> <lex>âst</lex>, <lang>го.</lang> <lex>asts</lex>.",,"Ast, asts, âst",,
"at","<heading><strong>at</strong></heading> <source>— Хильт.—</source>, <linked>см. aȥ</linked>.","Хильт.",,"aȥ","<heading><strong>aȥ</strong></heading>, <heading><strong>aȥs</strong></heading> (предл. с дат.) <em>к, на</em>; <lang>дс.</lang> <lex>at</lex>, <lang>да.</lang> <lex>set</lex>, <lang>го.</lang> <lex>at</lex>, <lex>aß</lex> <source>— Кал.—</source> <em>таким образом, так</em>; ср. <lang>лат.</lang> <lex>ad</lex>."
"atahaft","<heading><strong>atahaft</strong></heading> (прил.) <em>постоянный, вечный</em>.",,,,
"âtömian, âtuomian","<heading><strong>âtömian</strong></heading>, <heading><strong>âtuomian</strong></heading> <lang>дс.</lang> (слгл. 1) <em>освобо­дить, разрешить</em>: от <lang>дс.</lang> <lex>tôm</lex> <gender>мр</gender> <em>узда</em>; <lang>двн.</lang> <lex>zoum</lex>; <lang>нн.</lang> <lex>Zaum</lex>; <lang>да.</lang> <lex>tēam</lex>, <lang>ди.</lang> <lex>taumr</lex>.",,"taumr, tēam, zoum, Zaum, tôm",,
"augan","<heading><strong>augan</strong></heading> (слгл.), <linked>см. ougen</linked>.",,,"ougen","<heading><strong>ougen</strong></heading>, <heading><strong>augan</strong></heading> (слгл. 1) <em>показывать, пред­ставлять</em>., <heading><strong>ouga</strong></heading> <gender>срр</gender> (n) <source>— Разг.—</source> <lex>ôgen</lex> мн., <lang>свн.</lang> <lex>ouge</lex> <em>глаз</em>; <lang>нн.</lang> <lex>Auge</lex>; <lang>дс.</lang> <lex>ôga</lex>, <lang>да.</lang> <lex>ëaƷe</lex>, <lang>ди.</lang> <lex>auga</lex>, <lang>го.</lang> <lex>augō</lex>; ср. <lang>лат.</lang> <lex>oculus</lex>, <lang>русск.</lang> <lang>слав.</lang> <lex>«око»</lex>; <lex>under</lex> <lex>ougen</lex> <em>явно, открыто</em>."
"agusto, augusto","<heading variants="agusto, augusto"><strong>a(u)gusto</strong></heading> <gender>мр</gender> (n), <lang>свн.</lang> <lex variants="ougeste, ougest">ougest(e)</lex> <em>август</em> (<lang>лат.</lang> <lex>mensis</lex> <lex>Augustus</lex>, в честь импера­тора Августа); <lang>нн.</lang> <lex>August</lex>, в XVI—XVII вв. <lex>Augustus</lex>.",,"mensis, August, Augustus, ougeste, ougest",,
"ausrichten","<heading><strong>ausrichten</strong></heading> <lang>рнвн.</lang> <em>оплачивать; устраивать</em>; <lang>нн.</lang> <lex>ausrichten</lex>.",,"ausrichten",,
"aȥ, aȥs","<heading><strong>aȥ</strong></heading>, <heading><strong>aȥs</strong></heading> (предл. с дат.) <em>к, на</em>; <lang>дс.</lang> <lex>at</lex>, <lang>да.</lang> <lex>set</lex>, <lang>го.</lang> <lex>at</lex>, <lex>aß</lex> <source>— Кал.—</source> <em>таким образом, так</em>; ср. <lang>лат.</lang> <lex>ad</lex>.","Кал.","ad, at, set, aß",,
"aȥstantan","<heading><strong>aȥstantan</strong></heading> <source>— Тат.—</source> <em>предстоять</em>; <linked>см. stantan</linked>.","Тат.",,"stantan","<heading><strong>stantan</strong></heading>, <heading><strong>standan</strong></heading> (снгл. 6) (прош. <lex>stuont</lex>, прич. <lex>gistantan</lex>) и <lex>stân</lex> преим. <lang>алем.</lang>, <lex>stên</lex> преим. <lang>бав.</lang>, <lang>франк.</lang> <em>стоять; на­чинать</em> (с инф.); краткие формы гл. имеются лишь в наст.: изъяв. ед. 1 л. <lex>stâm</lex>, <lex>stân</lex>; <lex>stêm</lex>, <lex>stên</lex>, 2. л. <lex>stâs</lex>, <lex>stâst</lex>; <lex>stês</lex>, <lex>stêst</lex>, 3 л. <lex>stât</lex>, <lex>stet</lex>; мн. <lex>l</lex> л. <lex>stâmes</lex>, <lex>stân</lex>, 2 л. <lex>stât</lex>, <lex>stêt</lex>, 3 л. <lex>stânt</lex>, <lex>stênt</lex>; сосл. ед. <lex>l</lex>, 3 л. <lex>stê</lex>, 2 л. <lex variants="stêst, stês">stês(t)</lex>; мн. 1 л. <lex>stên</lex>, 2 л. <lex>stêt</lex>, 3 л. <lex>stên</lex>, прич. наст. <lex>stânti</lex>, <lex>stênti</lex>, гер,. род. <lex>stânnes</lex>, дат. <lex>stânne</lex>; <lang>свн.</lang> <lex>stân</lex>, <lex>stên</lex>; наст. изъяв. ед. <lex>stân</lex>, <lex>stâst</lex>, <lex>stât</lex>, соотв. <lex>stên</lex> и т. д., мн. <lex>stân</lex>, <lex>stât</lex>, <lex>stânt</lex> и т. д.; сосл. <lex>stê</lex> (редко <lex>stâ</lex>, также <lex>stânde</lex>); прич. наст. <lex>stânde</lex>; прош. <lex>stuont</lex>, сосл. <lex>stüende</lex>; прич. прош. <lex>gestanden</lex>, <lex>gestân</lex>; <lang>нн.</lang> <lex>stehen</lex>; <lang>да.</lang> <lex>standan</lex>, <lang>а.</lang> <lex>stand</lex>, <lang>ди.</lang> <lex>standa</lex>; ср. <lang>го.</lang> <lex>standan</lex>, <lang>лат.</lang> <lex>stāre</lex>, <lang>русск.</lang> <lex>«стоять»</lex>, <lex>«стать»</lex>."
